state,"Agriculture, forestry and fishing",Crops,Livestock,Forestry and logging,Fishing and aquaculture,Mining and quarrying,Primary,Manufacturing,"Electricity, gas, water supply & other utility services",Construction,Secondary,"Trade, repair, hotels and restaurants",Trade & repair services,Hotels & restaurants,"Transport, storage, communication & services related to broadcasting",Railways,Road transport,Water_transport,Air_transport,Services incidental to transport,Storage,Communication & services related to broadcasting,Financial services,"Real estate, ownership of dwelling & professional services",Public administration,Other services,Tertiary,TOTAL GSVA at basic prices,Taxes on Products,Subsidies on products,Gross State Domestic Product,Population ('00),Per Capita GSDP (Rs.)
andaman,76670,34026,19560,4634,18451,18738,95409,6650,30607,69302,106559,56278,53143,3135,69648,NA,19313,9991,8380,24375,41,7548,13462,45499,97359,90292,372538,574506,11504,13916,572094,4120,138858
andhrapradesh,14819416,7893514,4309078,346160,2270664,1484300,16303716,4672266,1151729,4664889,10488884,4233400,3716000,517400,5076984,424228,2816000,94200,14900,780200,18700,928756,1900863,4405409,2200897,4215389,22032942,48825542,5512100,1690800,52646842,501510,104977
arunachal,603944,360344,34027,204038,5535,43616,647560,19714,89594,124594,233902,70494,67273,3221,33414,47,16059,0,0,100,0,17208,23571,44949,183105,189928,545461,1426923,62683,29405,1460201,14570,100220
assam,3855548,2890544,173478,261987,529539,1471149,5326697,2002936,296587,1733568,4033091,2987155,2876251,110904,1194568,252509,507668,4502,26223,35739,10308,357619,543651,1412466,1373611,1795658,9307109,18666897,1725309,582406,19809800,326780,60621
bihar,7951890,4688237,2060296,550132,653224,68107,8019997,2189965,345168,3449763,5984896,7448373,7081391,366982,3147173,462413,1572288,2228,13599,166600,10618,919427,1178022,3740641,2078171,4587589,22179969,36184863,3213546,2006421,37391988,1101240,33954
chandigarh,16233,1659,13992,388,194,179,16412,149631,29741,133321,312693,965781,890921,74860,148302,1070,54468,0,12391,33211,763,46399,373045,598448,183889,156543,2426008,2755113,52622,23309,2784426,11120,250398
chhatisgarh,3948847,2613371,352208,597785,385483,2451970,6400817,4370593,1198438,2669855,8238886,1535571,1414164,121407,871770,159176,386628,0,9507,5232,16675,294552,739057,2462166,867982,1112232,7588778,22228481,2601791,1332092,23498180,270530,86860
delhi,250568,64959,183770,861,978,963777,1214345,2749307,971255,2048788,5769350,5896633,5359605,537028,5597141,293836,718343,574,420460,3259417,29922,874588,6974870,11733335,2008191,3829385,36039554,43023249,6611719,392546,49242422,179690,274041
goa,308507,140421,30141,15744,122201,3622,312129,1177608,204110,165819,1547536,380927,343492,37434,189656,15649,46171,17820,46359,19272,357,44028,233618,407099,346486,180431,1738217,3597882,527279,61854,4063307,14950,271793
gujarat,13769969,9671086,2698910,761616,638357,2117218,15887187,24087538,3409983,5526017,33023538,10178713,10178713,NA,4555910,511593,NA,NA,NA,2744163,57634,1242520,4606644,5179502,2576195,3123413,30220377,79131102,12353171.04,1981546,89502727,633590,141263
haryana,8015238,4636731,2916173,352254,110080,25186,8040424,7756921,1101919,3702571,12561411,4986319,4817784,168535,2560623,423873,1452364,NA,NA,190269,14459,479658,1671486,6970183,1036377,2001581,19226568,39828404,4985670,1067867,43746207,266620,164077
himachal_pradesh,1497802,938019,108442,443092,8249,28476,1526277,2355433,713480,775084,3843997,583016,473098,109918,445448,2309,273314,0,1452,1334,120,166919,332560,967576,468316,768581,3565497,8935771,759234,218589,9476416,70230,134934
jammu_kashmir,1586705,949424,433133,168093,36055,33621,1620326,893207,597421,785503,2276132,889931,807552,82379,712552,17752,464711,0,34922,865,2,194300,374011,1340082,1349880,946826,5613282,9509739,764270,233563,10040446,132390,75840
jharkhand,2844215,1812103,493408,438916,99788,1858615,4702830,3660373,335541,1699296,5695210,1595751,1479141,116610,1325607,404019,608092,0,3362,27554,378,282202,509609,1450196,928783,1045235,6855181,17253221,1992669,389228,18856662,344020,54813
karnataka,11219422,8157179,1868771,693082,500390,846882,12066304,12953843,1425762,6104799,20484404,8991658,7523720,1467938,5097652,259482,3194576,24152,171785,55349,42787,1349520,4094169,24766393,2232584,5308174,50490630,83041338,11026674,1889206,92178806,635100,145141
kerala,5930617,3070386,1656104,499808,704319,558824,6489442,4273567,482470,7314003,12070040,8557345,7763847,793498,4020934,147897,2761427,26956,125029,71567,3290,884767,2010306,7287633,2068915,5728645,29673778,48233259,5189352,822381,52600230,339843,154778
madhya_pradesh,16235647,13216013,1932769,965588,121277,1618373,17854020,4368833,1272905,4403151,10044889,5357515,5053625,303890,2865802,498734,1369235,0,26746,36694,29012,905381,1988794,2660123,2497321,2747805,18117360,46016269,4284700,2102800,48198169,765180,62989
